node1,node2,node3,Fxx,Fxy,Fyx,Fyy,Pxx,Pxy,Pyx,Pyy
0,1,2,1.3481090983309096,-0.0007588142663657038,0.0,1.1784810994727728,2.3250953964995,-0.0006002559582019702,0.0008104542697994235,2.3720838632957357
0,2,3,1.3477232391792735,-0.0005814388175562346,-0.00048134546171851866,1.1787023689876808,2.3245071756139426,5.3891819428445484e-05,0.000239930401825438,2.3712354613877373
2,1,4,1.348915630234694,-0.0001636848577829808,-0.0006667481224944538,1.177989114699514,2.3261439992044037,0.0005832515811425563,-0.0003523985567237221,2.3736600589007617
5,0,3,1.3471679572246544,-0.0010365400591225704,0.0,1.1790968729246885,2.324112785078207,-0.000820036406361823,0.0011061934461826812,2.3705120762001313
2,6,3,1.3480193374844809,-0.0017473696300411845,-0.0005797426020208718,1.1790898222615347,2.3282619215604106,-0.0007612058999111736,0.0014121294023475037,2.3755137000517053
1,7,4,1.3489137697202749,-0.00016300386224155083,0.0,1.1777450679487558,2.324687198336979,-0.00012894700829508535,0.00017405685012624313,2.3720565855231377
8,2,4,1.3488503399831817,-0.0007242726409911193,-0.0007111067031253526,1.177608248064658,2.323561521219244,0.00018568404285906242,0.00021014732489157322,2.3707845718632705
9,5,3,1.3469533811923453,-0.0008609121825942645,-0.0010324854271956951,1.1799419497078478,2.3280660997629385,0.0004241958992645912,0.00010488122251441816,2.3747345475401875
10,5,9,1.345759998223351,-0.0013764130347266867,0.0,1.1803879482945234,2.324824815333723,-0.0010888659371685015,0.0014694888744996265,2.3705555617073037
11,10,12,1.3431986705463816,-0.0015219042234080327,0.0,1.1826120249212693,2.325343436437967,-0.0012039446206880086,0.0016250580430193845,2.369778027577
6,2,13,1.348359195337179,-0.0012167784040588714,-0.0012990277194244726,1.1779668634443716,2.323268846384728,0.00042291209392462015,0.0002701071525001786,2.3702061538119064
6,9,3,1.3466388748877702,-0.00170363433960663,-0.0013414951020020993,1.1791139558142305,2.321596682915818,8.080731398400938e-05,0.0007531203828893903,2.3674744272320467
7,14,4,1.3490767735825162,0.0,-0.00015141989975830938,1.177593648049001,2.3245901442050205,0.00016167814789803378,-0.00011978417372041193,2.3720350946027167
2,8,13,1.3492768664583945,-0.0011892801439344902,-0.0010469732345903537,1.1779744163242931,2.3278284315756905,0.0001800601259593377,0.0004449111084712943,2.37570274883756
14,8,4,1.3493196588146805,-0.0006635747946936998,-0.00018181964909302906,1.1776767017087408,2.3262762961150725,-0.0003304684554440312,0.0005656115906984191,2.374018108679344
10,9,12,1.3446280588132766,-0.0006740064967702963,-0.0018324418120450048,1.181525040172188,2.3259696749932357,0.0014246418645707587,-0.0007293772860158827,2.3712128787400624
11,12,15,1.3420005645740247,-0.000853496557401634,-0.0017491718916851084,1.1835878650627425,2.325180405235452,0.0011920956403956432,-0.00047263924219825533,2.3689704739470745
16,11,15,1.3407221805132201,-0.0016440900358141164,0.0,1.184669608751971,2.3252477390654267,-0.001300659293674833,0.001754998911861991,2.368372424652388
17,6,13,1.3491453209809892,-0.002623252172187479,-0.0013120313911798576,1.1779901285844385,2.3272649789467126,-0.0006709833951884978,0.0017688242232889303,2.3750127854589547
18,9,6,1.3472781602210522,-0.003075582252803327,-0.001597061387879961,1.179662417689313,2.327990888503179,-0.0007230484022347711,0.0020285825555960194,2.3748226380101944
8,19,13,1.3494372332859248,-0.0007570402960442972,-0.0014078884017401094,1.1770016346128014,2.32284474641835,0.0009024175061822643,-0.00030660636961116054,2.37030083591258
14,20,8,1.3497545664068467,0.0,-0.0005951673718520567,1.1770460226053956,2.324670921101215,0.0006355624540813154,-0.00047081302012256436,2.3724787079136602
9,21,12,1.344859363510992,-0.0038149936226508085,-0.001825991692943063,1.1814374511986685,2.326569136265469,-0.0010657520691605788,0.0026335119546090037,2.37198785377536
15,12,22,1.3421981579111701,-0.004495791517529213,-0.0017604103002801796,1.1837950258889691,2.3273620227964633,-0.001673580203507434,0.0034147286344309085,2.37144681622316
23,16,15,1.3392515959564213,-0.0007493972147543104,-0.002601169934820291,1.1862521413960696,2.3273006716506277,0.0021876403057024436,-0.001256427496229437,2.369823338879377
24,16,23,1.3372579572905545,-0.0019004250351595253,0.0,1.1877539275581483,2.326259106043121,-0.0015033787108243552,0.0020294404788677237,2.3676437188300405
17,18,6,1.3478902328098483,-0.00240979120392526,-0.0028880129393549225,1.1782581659661702,2.3226657350196045,0.0011722890916270193,0.00028405996773875255,2.3692970362728683
17,13,25,1.3495668474370888,-0.002134510554375968,-0.002149708565593045,1.1770188782832847,2.323568355990709,0.0006050045065077491,0.0005767645777000003,2.3711643938633005
9,18,21,1.3459496679397787,-0.0028393663441074746,-0.003442887002652384,1.1799906193514769,2.32336255741273,0.0014253059262611693,0.00030415201572339765,2.369049857619
20,19,8,1.3501513256988118,-0.0007370257138415992,-0.0005837075906907074,1.1770247347526315,2.326490939396591,4.1250720085243874e-05,0.00032646097814042184,2.3746919445097383
13,19,25,1.3505084066106088,-0.0022038845559556597,-0.0013785910616732622,1.1769620624097428,2.3278605322098422,-0.0002671628241955348,0.0012689129181344583,2.376388445631134
12,21,22,1.3435643210186146,-0.0033238858821663664,-0.0036863505347959347,1.182142938958867,2.3243204168640874,0.0013036724964876406,0.0006301548968828128,2.368849741117337
15,22,26,1.34055004047472,-0.00375545158896351,-0.0038654949909009417,1.1847406370541744,2.324749676713134,0.0011535205620580823,0.0009490383135547812,2.3677362585809743
23,15,26,1.3390356150985077,-0.004974202570535713,-0.0026275091157685893,1.1857369202149002,2.3231184032185785,-0.0011361018424070387,0.003221512062316402,2.365173492677585
24,23,27,1.335973353412517,-0.0011587586403727368,-0.002734734770019287,1.1893328274137804,2.329180135578131,0.0020097605647115464,-0.0009229427030020593,2.370112924235348
28,24,27,1.3336612908323748,-0.0024290104837279003,0.0,1.1908352962104942,2.3264957313871166,-0.0019215874935369635,0.002593419656468914,2.3659995118493837
29,18,17,1.348640762182414,-0.004361349349629978,-0.002907029448763865,1.1783076134963988,2.326627477846271,-0.0003410344151911632,0.0023643149471068697,2.3740426928805434
30,17,25,1.3502653455694342,-0.0034499663825679205,-0.0018662590953368863,1.1764850683267625,2.3238218001316615,-0.0007375746344831457,0.0022055345078443294,2.3718074385953023
18,31,21,1.3465839238112605,-0.00507785415291262,-0.003510833961843929,1.180230425471752,2.327881384991035,-0.0002589796897905826,0.0026571275321293306,2.374330886681856
20,32,19,1.3505185279549172,0.0,-0.0009487690474578869,1.176292005919148,2.323946478096915,0.00101269011377399,-0.0007505777818517348,2.37207928775786
19,33,25,1.3507909191662808,-0.0016563188256873973,-0.002066763583478348,1.1756282466840675,2.321330648925155,0.0008911612225119443,0.00012911112725348542,2.369332173415885
21,34,22,1.344024375655046,-0.005752569313872247,-0.003754029905294942,1.1825002264477362,2.328679329848096,-0.0005307705070975964,0.003189035193289542,2.3738452121900515
22,35,26,1.3410572137086776,-0.006221455114315155,-0.004017608237386838,1.1854802498274282,2.331619123781515,-0.0006103097829976535,0.0034955782198300353,2.3754591985975466
36,23,26,1.3387201747434467,-0.004695489129852515,-0.004876873102460877,1.187724389370393,2.3332986089363317,0.0015232708544579646,0.0011851691291302835,2.376021921378182
23,36,27,1.3359706884449434,-0.005659236704881332,-0.002735242691802142,1.1884750718218715,2.3240228557734266,-0.0015621213228329016,0.0038685168977678555,2.3645474936248365
28,27,37,1.3320801137715015,-0.0014731441096980102,-0.002685487322018787,1.1924587494546088,2.328147109369282,0.001704951480238488,-0.0005497365162149396,2.36693215007429
38,28,37,1.3300638925569492,-0.002481340703457846,0.0,1.1938016076445273,2.325947839670943,-0.001963193164409081,0.002647254524003507,2.363512920414893
29,31,18,1.3475216229595202,-0.004129058961620524,-0.004984913674146441,1.1787389025827615,2.323642940152643,0.0020513935191564855,0.00046120700538663205,2.3701740818073915
29,17,30,1.349684647107757,-0.0033015200419050927,-0.004131735335420217,1.177064201353442,2.324376457802503,0.0017993645536043719,0.00025623632819985094,2.372113111865602
33,30,25,1.3516937343829518,-0.0023510640334588606,-0.002523313636885849,1.175979576564039,2.3278279680604443,0.0008420238621557347,0.0005214124398083878,2.3769778447712704
21,31,34,1.345028835413508,-0.004740171046460795,-0.0055637444485370224,1.180676209255756,2.322807864516238,0.00218006015071588,0.0006505113600479232,2.3679569014573065
32,33,19,1.351539144272793,-0.0015432571664828476,-0.0006512546285417642,1.1758421392541933,2.326275620869642,-0.0005242141308757953,0.0011350978673373294,2.375184195047323
34,35,22,1.3420326923953672,-0.0051594457929540205,-0.006110300113499889,1.1832019240069975,2.3229204929131284,0.00242954976199705,0.0006637845300735603,2.366516565670213
35,36,26,1.3383270168422092,-0.0056208575377261205,-0.005675390396207902,1.1858449341325539,2.320143673636987,0.0015852089121478792,0.0014840638787141612,2.3615741654508917
27,36,39,1.3346127495245943,-0.004684484379086307,-0.005663102425330635,1.1905767407865717,2.329630538469714,0.002355850340725222,0.0005345965098499852,2.3698648883423443
37,27,39,1.3321710930929762,-0.005847934683117284,-0.0026759495482873152,1.192000120373475,2.325832072198588,-0.0017714579855863345,0.0041226151985925335,2.364495665534279
40,38,37,1.3280358147847675,-0.0011007630681429958,-0.0036165206641456393,1.19626348934111,2.330262115867974,0.002998897177434412,-0.0016825044105817236,2.3670341537460438
