load_step,delta,load_substeps,Rx_right,Ry_top,Rx_left,Ry_bottom,converged,newton_iterations,max_displacement,J_min
1,0.05,1,-0.22956515194048127,-0.27383572608668283,0.2295651519404813,0.27383572608668294,True,4,0.05590169943749475,1.0465774810075008
2,0.1,1,-0.4806086878167661,-0.5529552105995963,0.4806086878167658,0.5529552105995974,True,4,0.1118033988749895,1.092640891380141
3,0.15000000000000002,1,-0.7470351106928114,-0.8326038401969043,0.7470351106928144,0.8326038401969126,True,4,0.16770509831248426,1.13882168076547
4,0.2,1,-1.0182309933710856,-1.1044430647584949,1.0182309933710958,1.1044430647584846,True,4,0.223606797749979,1.188480788641214
5,0.25,1,-1.280854481736417,-1.3585064533349727,1.280854481736417,1.3585064533349729,True,5,0.2795084971874737,1.2396627648477898
6,0.30000000000000004,1,-1.5248051335293733,-1.5884600422587964,1.5248051335292863,1.5884600422587964,True,4,0.3354101966249685,1.291244639368991
7,0.35000000000000003,1,-1.747950473361661,-1.7951335926716039,1.7479504733616862,1.7951335926716054,True,4,0.39131189606246325,1.3475895423346818
8,0.4,1,-1.9544746129224475,-1.9843958649772881,1.9544746129224713,1.9843958649772944,True,4,0.447213595499958,1.4117261236983707
9,0.45,1,-2.150466239247985,-2.1631054306086104,2.1504662392479936,2.1631054306086126,True,4,0.5031152949374528,1.477638345547584
10,0.5,1,-2.341273291045229,-2.3369415588446123,2.3412732910452303,2.336941558844612,True,4,0.5596618970175861,1.5333414424523517
