node1,node2,node3,Fxx,Fxy,Fyx,Fyy,Pxx,Pxy,Pyx,Pyy
0,1,2,1.2068260827457769,-4.752115936529355e-05,0.0,1.3739901743842182,2.8409688770520787,-9.604818420501e-05,1.389579140754097e-05,3.1299544637114614
0,2,3,1.2067978721063413,-3.455302109550695e-05,-5.0354851033773684e-05,1.3740133219868191,2.840853837626958,-5.5118750990781873e-05,-9.16768762150196e-05,3.1299494918680133
2,1,4,1.206870934289186,-1.4425788459615507e-05,-4.588028275165357e-05,1.3739563199199267,2.8411683878443745,-1.5733242874703618e-05,-8.850817067569404e-05,3.1299820418039515
5,0,3,1.2067557688442638,-6.90602596004064e-05,0.0,1.3740545921110012,2.84072016574573,-0.00013958955924351355,2.0181415185182325e-05,3.129986990183716
2,6,3,1.2068219053847913,-0.00012918760487101721,-5.8254085104181286e-05,1.3740444263877407,2.8412392564248954,-0.00024406388957263619,-7.994000378938994e-05,3.130293136965673
1,7,4,1.206866663368828,-1.2862523111140112e-05,0.0,1.3739395265709078,2.841036174616707,-2.5996552551346888e-05,3.761825552625525e-06,3.129845723886209
8,2,4,1.2068662221456283,-5.4884663252235955e-05,-4.997967804598602e-05,1.373921122155057,2.840928208131068,-9.63146753418275e-05,-8.496699780246748e-05,3.1297202932784933
9,5,3,1.206748518834991,-6.31262150581069e-05,-8.668715863890952e-05,1.3741255444975753,2.841058203825958,-0.00010224178830986957,-0.00015675574475246961,3.130419798655426
10,5,9,1.2066654225088458,-9.90210016017512e-05,0.0,1.3741629904016186,2.8405453579558873,-0.00020016132792207992,2.892371093585487e-05,3.1301999152010778
11,10,12,1.206513752981039,-0.00011456351177363544,0.0,1.3743396132173373,2.840221161587281,-0.00023160432716190377,3.343562542480267e-05,3.1305215576392227
6,2,13,1.2068390198551835,-0.00010246823453591292,-0.00012033701611535719,1.3739475015757527,2.840840205043759,-0.0001719268658700484,-0.00021326582933373236,3.1297425817934794
6,9,3,1.2067250101933276,-0.0001261178083040715,-0.00011627465175934049,1.3740462645732414,2.8404047578983085,-0.00022097271623583762,-0.0001982022983710018,3.1297573608254026
7,14,4,1.2068795258919394,0.0,-1.1541424264294164e-05,1.373927985146647,2.84108301707944,3.3758503717303828e-06,-2.332624637383966e-05,3.129841391955676
2,8,13,1.206907972798356,-0.00010040204118638707,-7.541092529805837e-05,1.3739488477980544,2.841448937855864,-0.00018083887679407436,-0.00012301439370419616,3.1301416161649716
14,8,4,1.20689810574416,-5.07611002643904e-05,-1.0880309147864864e-05,1.373926178946565,2.841234753527947,-9.940749036039745e-05,-7.136601573803813e-06,3.129934420780702
10,9,12,1.2066041019066314,-6.096950209255603e-05,-0.00014552152951807784,1.3742532914131687,2.840521123151798,-8.074606137678758e-05,-0.00027636253713870406,3.130456074032703
11,12,15,1.2064379286088827,-7.226208536459389e-05,-0.00015738228885098238,1.374427414739733,2.8400559633945988,-0.00010018199528113937,-0.0002971043850827712,3.1306789543193423
16,11,15,1.2063461448998372,-0.00012902405856274335,0.0,1.3745247449670082,2.839805371421414,-0.00026086992095499667,3.761575866370885e-05,3.1308098002980005
17,6,13,1.2069005747688564,-0.00021259741307366742,-0.0001204816696578348,1.373947760378413,2.8413781475235473,-0.0003944038833260477,-0.00018126991344673689,3.1300924276040436
