node1,node2,node3,Fxx,Fxy,Fyx,Fyy,Pxx,Pxy,Pyx,Pyy
0,1,2,1.103060823368519,-1.727724374925299e-05,0.0,1.192210484322814,0.22680472652324618,-1.4393713776064684e-05,-1.003059558927039e-05,0.3528328668078169
0,2,3,1.103045821976093,-1.0381259286873501e-05,-2.6239066635014296e-05,1.192222546149523,0.22677337596981742,-2.388251338933107e-05,-2.7887018104379912e-05,0.35284099318342804
2,1,4,1.1030796039191495,-3.4193195467963067e-06,-2.2350553651406813e-05,1.1921939921397868,0.2268412776196754,-1.5824379607008275e-05,-2.0605366558113724e-05,0.3528184028257522
5,0,3,1.1030280263759744,-2.4966281618354902e-05,0.0,1.1922440513176689,0.22675011582034532,-2.079949180530315e-05,-1.4494779930315315e-05,0.35287280704071977
2,6,3,1.1030531236633903,-3.9132731529223364e-05,-3.107596552354153e-05,1.192241592153339,0.2268368685786361,-5.064105403437116e-05,-4.86060580301356e-05,0.3529138120155027
1,7,4,1.103080696430737,-3.8192065417719245e-06,0.0,1.1921858112693613,0.22682942557550795,-3.1817959394429092e-06,-2.217329907610826e-06,0.35279530968469736
8,2,4,1.1030780336342216,-1.6901922635911837e-05,-2.3970614538626478e-05,1.192180082155991,0.22680862723898876,-2.7998357478095816e-05,-2.9783289815041963e-05,0.3527725016834916
9,5,3,1.103019096813377,-1.7657543077420623e-05,-4.469148831454106e-05,1.192280630758101,0.2267883650666084,-4.06540355876787e-05,-4.748238472624904e-05,0.3529682254116641
10,5,9,1.1029837608566428,-3.292147450656424e-05,0.0,1.1922999359609623,0.22669687569451547,-2.7426866065802033e-05,-1.9112801888647283e-05,0.3529592984631001
11,10,12,1.1029095824894952,-3.611226947353163e-05,0.0,1.19239076625996,0.2266021710420775,-3.0084936994043385e-05,-2.0964475189426373e-05,0.3530955180278682
6,2,13,1.1030603996006452,-2.7773428110028364e-05,-5.9727889446747895e-05,1.1921968603358444,0.22677680597524544,-5.781646739231056e-05,-6.588516951986899e-05,0.3527900639400715
6,9,3,1.1030115734875832,-3.781635467781097e-05,-5.8931452488586444e-05,1.1922424746602687,0.22668706699689084,-6.572233036026397e-05,-7.105363054894963e-05,0.35283609929139315
7,14,4,1.1030845156372788,0.0,-5.810011383999836e-06,1.1921800012579755,0.22683210402856804,-3.3731614430761344e-06,-4.8403478107061515e-06,0.3527847996692675
2,8,13,1.103087267018544,-2.6968338760285926e-05,-3.990517804020044e-05,1.1921974543286833,0.22687591775860022,-4.563315839514706e-05,-4.8900614535239885e-05,0.3528439035302753
14,8,4,1.1030901295644573,-1.53375342819978e-05,-6.659125862285009e-06,1.1921823210818694,0.22685706201306405,-1.664370527785614e-05,-1.4452015507060945e-05,0.35280281437925787
10,9,12,1.1029501362023522,-1.205624373534775e-05,-7.483610757219594e-05,1.1923463742868696,0.2266641413030161,-5.348892115902253e-05,-6.934463978848744e-05,0.3530372695950226
11,12,15,1.1028710448525088,-1.461262538043906e-05,-8.058190136495114e-05,1.1924357218497494,0.22654862598786762,-5.89539487975777e-05,-7.561530251761084e-05,0.3531593875488456
16,11,15,1.102829853317564,-4.0086784431347944e-05,0.0,1.1924855562677852,0.2264948433813505,-3.339592367240445e-05,-2.3271201481442768e-05,0.35323314409354534
17,6,13,1.1030773982672588,-5.8186096712951885e-05,-6.529978170277673e-05,1.1922068291243684,0.22685807385259912,-8.638303246273986e-05,-8.817971051362032e-05,0.35285367861291467
18,9,6,1.103025664697783,-6.80570084542198e-05,-7.313037319534033e-05,1.1922729464678001,0.2267974258222098,-9.915041298541233e-05,-0.00010043186147528952,0.3529572517008748
8,19,13,1.1030905966666342,-1.7993873116975423e-05,-5.388219574697928e-05,1.1921597817993923,0.2268151361705084,-4.6275524589717796e-05,-5.53373054225262e-05,0.35273426490438986
14,20,8,1.1031001817999515,0.0,-1.994615323575033e-05,1.1921620479557653,0.2268544691947461,-1.1580313617711534e-05,-1.6617243570161667e-05,0.3527598021424607
9,21,12,1.102955617411837,-8.648797208155035e-05,-7.482725342100593e-05,1.1923462540525271,0.22668388274097578,-0.000115491103059512,-0.00011254591986520747,0.3530474953093068
15,12,22,1.1028757498179964,-0.0001013406109056092,-8.103488147714888e-05,1.192444071762763,0.2265819349132494,-0.00013146597258081836,-0.00012633693688305993,0.3531941989374168
23,16,15,1.1027861207462164,-1.3480209888894201e-05,-0.00010339267497627702,1.1925484596102827,0.226457072496689,-7.124796392250318e-05,-9.395976518456186e-05,0.3533422108270001
24,16,23,1.1027303869511393,-4.5658131479608954e-05,0.0,1.1926081533990125,0.2263692897917508,-3.8037040896212674e-05,-2.6504096873391283e-05,0.3534181443713208
17,18,6,1.1030405072493588,-5.191180253816263e-05,-0.0001246357124018438,1.1922169207701252,0.22674308858182124,-0.00011561270956970515,-0.00013397562174208164,0.3528133549946074
