loadstep,alpha,gamma,blend,u_rmse,F_rmse,J_rmse,I1_rmse,I2_rmse,I3_rmse,mean_F_rmse
10,1e-10,0.1,0.25,0.0008529625978130423,0.05392900513738589,0.0823356471985805,0.16534677587558336,0.35520125997242774,0.19049323802998336,0.05975991288264229
20,1e-10,0.1,0.25,0.0014870509462676792,0.05557759045242142,0.08839957466643703,0.1794636751602771,0.4056095744753693,0.2299653109867905,0.05975991288264229
30,1e-10,0.1,0.25,0.002644568096814829,0.060541251686609385,0.10193730634599285,0.22984281268856746,0.4971190378432668,0.3020950378368602,0.05975991288264229
40,1e-10,0.1,0.25,0.003870830466128521,0.06899180425415248,0.1265780582554182,0.3431501893347819,0.6483727576583296,0.45227232259850153,0.05975991288264229
10,1e-10,0.1,0.5,0.001000665648691198,0.03726145663325467,0.0558905201081129,0.11241487538968614,0.24102955858430553,0.1290349134620319,0.06157466028684857
20,1e-10,0.1,0.5,0.0026329696558558425,0.046473958336673865,0.06827263858074012,0.15114142536240183,0.32229695650891005,0.1801408152201644,0.06157466028684857
30,1e-10,0.1,0.5,0.005107131610483812,0.06829057907698581,0.10426547031508772,0.3042993140668076,0.565106747379892,0.33986855848043485,0.06157466028684857
40,1e-10,0.1,0.5,0.007615280673393751,0.09427264710047992,0.1617685680019311,0.5859670403677236,0.9813912633766606,0.6988353172217199,0.06157466028684857
10,1e-10,0.1,0.75,0.001343181202153725,0.023756011173718547,0.03235013126735809,0.06635423234019126,0.14068276762758047,0.07497810332282166,0.07341824535733123
20,1e-10,0.1,0.75,0.003890792097246653,0.04836915466161804,0.06280684059878282,0.16161158689818864,0.31937161658551666,0.17394065894430205,0.07341824535733123
30,1e-10,0.1,0.75,0.00763038358544617,0.08939461194202462,0.12862628804669904,0.4324854669955584,0.7813452111304164,0.4622375355950449,0.07341824535733123
40,1e-10,0.1,0.75,0.011401846260275787,0.1321532036519637,0.2214428303413423,0.8789647357402067,1.5648334075742671,1.1232311925891363,0.07341824535733123
10,1e-10,0.1,1.0,0.0017708634044763653,0.0208838057946812,0.023308876793429467,0.05095145834356799,0.10522817739196574,0.05547126765964523,0.09314060758537496
20,1e-10,0.1,1.0,0.0051796256933116045,0.06023377389885983,0.07536207520639468,0.2073207693363741,0.4059046882100913,0.21928120470425225,0.09314060758537496
30,1e-10,0.1,1.0,0.010169248818935491,0.11682732350168237,0.165799200144436,0.5882704050905685,1.0903859395838884,0.6415313742752295,0.09314060758537496
40,1e-10,0.1,1.0,0.015199082989532969,0.17461752714627646,0.29148889757189395,1.201507189164512,2.340787556953458,1.7054492473616492,0.09314060758537496
10,1e-10,1.0,0.25,0.000761604382498332,0.053781484293269344,0.08225223361155543,0.16503645362853148,0.354627026106507,0.1902439044151945,0.05491063919481085
20,1e-10,1.0,0.25,0.0008353446585422676,0.054168325943223274,0.08729672428091469,0.17639950635200558,0.399507986750916,0.22668732635899416,0.05491063919481085
30,1e-10,1.0,0.25,0.0009825450737804564,0.054652748467316825,0.09606000305125528,0.20723796074300327,0.46064216397249985,0.2808097070505014,0.05491063919481085
40,1e-10,1.0,0.25,0.001199245196352954,0.057039998075433966,0.11547083782294741,0.28425439946806585,0.5715517871558682,0.4091095548548344,0.05491063919481085
10,1e-10,1.0,0.5,0.0005927130205179973,0.03636694826222965,0.055388666134656483,0.11095071636480514,0.23831025236437844,0.12778020339408536,0.043103262935758696
20,1e-10,1.0,0.5,0.0009106505577227761,0.03880224998275093,0.06163454175242476,0.13433149237010686,0.2872646583637487,0.16124125585445076,0.043103262935758696
