node1,node2,node3,Fxx,Fxy,Fyx,Fyy,Pxx,Pxy,Pyx,Pyy
0,1,2,1.2802499606917712,-0.0005852391803115031,0.0,1.1475933023376435,1.8090019665277168,-0.0004528400982706578,0.0004173519565567271,1.8009578395291423
0,2,3,1.2799425222013014,-0.0004439128958443339,-0.00039714225638576295,1.1477758645126457,1.808503294234426,-6.044430897513139e-05,9.08279073459162e-06,1.8004321467220739
2,1,4,1.2808696641288875,-0.00012796806890583157,-0.0005253485541025782,1.1472056544679994,1.8099004782042223,0.0002759966552717603,-0.0003151127160451117,1.8018976058740743
5,0,3,1.2795036443417138,-0.0008036109863958085,0.0,1.148101356692706,1.8081318024860549,-0.0006218677390055409,0.0005725561938774094,1.8000686351737158
2,6,3,1.2801730757947722,-0.0013517517244663324,-0.00047707341594716013,1.1480906052597994,1.811242160106228,-0.0007045579152618804,0.0005975023254376566,1.803510329174947
1,7,4,1.2808664452706005,-0.00012678988500164357,0.0,1.1470133635513555,1.8088778156806196,-9.810769155096789e-05,9.039525030508469e-05,1.8007357306213339
8,2,4,1.280819133064101,-0.0005618321900528189,-0.0005608048661365217,1.1469012234862923,1.8080653500445814,-3.533083365360977e-05,-3.380410707490289e-05,1.7998183331747013
9,5,3,1.2793351253578882,-0.0006656802447117527,-0.00083146584138305,1.1487819013861493,1.8108980889477198,7.939471551647419e-05,-0.00016736844329547074,1.8032266573532427
10,5,9,1.2784015930367985,-0.001068934455236148,0.0,1.1491410663490171,1.8083559770263822,-0.0008271621318285057,0.0007619331079413998,1.8004681800322113
11,10,12,1.2764056359911455,-0.0011835383924272413,0.0,1.1509248099294318,1.8082183228690973,-0.0009158518780112246,0.0008437539097270101,1.8005743692165939
6,2,13,1.2804338161132587,-0.0009446799909441084,-0.0010544521531947737,1.147189192832169,1.807749912220787,1.9751952037244756e-05,-0.00014336104045270352,1.7995112140095002
6,9,3,1.2790918654066121,-0.001317497228574882,-0.0010823034800697684,1.148109779928273,1.8062199535366106,-0.00025033384326198296,9.890760963858708e-05,1.7979550489532152
7,14,4,1.280993235155602,0.0,-0.00011984830310041161,1.1468935152482551,1.8088489034787185,8.544150263342415e-05,-9.273676322963513e-05,1.8006861479179126
