method,loadstep,alpha,gamma,blend,u_rmse,F_rmse,J_rmse,I1_rmse,I2_rmse,I3_rmse,J_min,J_nonpositive_count,mean_F_rmse
krr,10,1e-10,0.1,0.25,8.293015788617239e-05,0.0018286256868251525,0.0022232616484146117,0.004498762645132433,0.009005297238714505,0.004509299899983524,0.978363357748407,0,0.005998381966314282
krr,20,1e-10,0.1,0.25,0.000169451673534227,0.00352340430228332,0.004333901286812362,0.008841428617964183,0.01771604851588793,0.008898143126337438,0.9690861675560002,0,0.005998381966314282
krr,30,1e-10,0.1,0.25,0.00025761575551230034,0.005201511357914642,0.006502901958293949,0.013431910335393366,0.026858406976085977,0.013508628787174196,0.9565135548110397,0,0.005998381966314282
krr,40,1e-10,0.1,0.25,0.00034790483104289195,0.006859421027020424,0.00873648689276011,0.018419567399720577,0.036593281590205265,0.018376524910901908,0.9498294736129802,0,0.005998381966314282
krr,50,1e-10,0.1,0.25,0.0004395647796244493,0.008487118668173747,0.01099292484330521,0.023740864080399857,0.04675302850376448,0.023424753299286113,0.9380562097895881,0,0.005998381966314282
krr,60,1e-10,0.1,0.25,0.000531257751549921,0.010090210755668402,0.013296394199778386,0.02955468050192155,0.05756362114734471,0.02874040876437842,0.9236754180095448,0,0.005998381966314282
krr,10,1e-10,0.1,0.5,0.00016586031577234478,0.0036572513736503006,0.004447318110941664,0.009015837775031791,0.01804413505013654,0.009033403994172141,0.9878053727148857,0,0.011996763932628553
krr,20,1e-10,0.1,0.5,0.00033890334706845394,0.0070468086045666475,0.008668333686917783,0.01775782194725355,0.035570686045554155,0.01785646775170584,0.9784463824416917,0,0.011996763932628553
krr,30,1e-10,0.1,0.5,0.0005152315110246008,0.010403022715829262,0.013006804074791035,0.02702571649276488,0.054035959224990084,0.02716160354487963,0.9683584455730645,0,0.011996763932628553
krr,40,1e-10,0.1,0.5,0.000695809662085784,0.013718842054040838,0.017475986928412693,0.037094033253354,0.07374308329636624,0.03701971385733402,0.9609622365216852,0,0.011996763932628553
