node1,node2,node3
1572,1543,1498
1468,1453,1531
1532,1468,1531
1468,1532,1499
2804,2809,2784
2838,2809,2804
2809,2797,2784
2763,2737,2757
2857,2877,2878
2877,2897,2878
2896,2902,2897
2902,2914,2897
2916,2914,2913
1506,1459,1505
2407,2427,2435
889,900,913
585,565,573
585,613,607
565,548,538
417,438,418
194,236,218
178,194,164
1454,1468,1499
1439,1453,1396
1500,1512,1513
1633,1597,1644
1589,1641,1573
1641,1589,1616
1688,1641,1616
1511,1530,1467
1530,1511,1573
1589,1511,1543
1511,1589,1573
2894,2968,2907
2737,2745,2726
2745,2737,2763
2838,2845,2809
2873,2845,2838
2845,2873,2859
2873,2899,2859
2899,2873,2898
2825,2838,2804
2790,2825,2804
2825,2790,2803
2826,2797,2809
2826,2845,2859
2845,2826,2809
2846,2826,2859
2797,2777,2784
2681,2656,2676
2737,2725,2757
2725,2751,2757
2751,2725,2714
2800,2801,2795
2729,2751,2714
2891,2871,2878
2801,2787,2795
2311,2323,2324
1056,1150,1057
1208,1265,1239
2807,2801,2800
2822,2816,2815
2849,2856,2857
2856,2877,2857
1312,1341,1271
1341,1312,1353
1392,1341,1353
1552,1572,1498
1195,1208,1239
1208,1195,1130
1459,1458,1505
1458,1504,1505
1278,1320,1263
1459,1460,1401
1506,1460,1459
1240,1211,1177
1196,1240,1177
2460,2428,2435
2429,2436,2430
2559,2560,2552
2548,2559,2552
2525,2514,2499
2514,2525,2547
2558,2540,2570
2593,2558,2570
2525,2558,2547
2558,2525,2540
2488,2467,2499
2514,2488,2499
195,194,218
1060,1119,1061
1119,1060,1059
1119,1130,1062
1061,1119,1062
1058,1119,1059
863,862,876
877,900,889
878,877,889
1679,1602,1621
1602,1557,1621
1950,1911,1924
1833,1876,1814
1876,1833,1911
1201,1229,1271
1284,1228,1245
548,526,538
580,548,565
580,585,607
585,580,565
424,438,417
830,841,858
841,884,858
841,807,814
807,841,830
898,885,941
885,898,860
874,830,858
1557,1503,1502
1515,1503,1557
1504,1535,1578
1535,1602,1578
1472,1535,1504
1535,1472,1515
1262,1319,1328
230,198,239
189,198,199
206,229,239
198,206,239
229,206,221
387,373,400
385,417,418
405,385,418
385,405,380
210,236,194
178,210,194
1530,1485,1467
1453,1485,1531
1439,1485,1453
1469,1455,1440
1455,1469,1470
1469,1454,1499
1512,1469,1499
1469,1486,1470
1553,1597,1633
1676,1692,1733
1596,1530,1573
1641,1596,1573
1370,1371,1314
1286,1273,1214
1469,1421,1454
1397,1421,1409
1421,1422,1409
1422,1421,1440
1421,1469,1440
2972,2973,2907
2968,2969,2907
2969,2970,2907
2971,2972,2907
2970,2971,2907
2899,2961,2906
2966,2894,2906
2886,2894,2907
2908,2886,2907
2886,2908,2880
2919,2998,2999
2770,2745,2763
2770,2804,2784
2770,2790,2804
2790,2770,2763
2730,2704,2726
2745,2730,2726
2952,2898,2893
2885,2864,2891
2864,2871,2891
2871,2864,2843
2904,2885,2891
2865,2873,2838
2824,2825,2803
2824,2832,2851
