method,loadstep,lambda_smooth,blend,u_rmse,F_rmse,J_rmse,I1_rmse,I2_rmse,I3_rmse,J_min,J_nonpositive_count,mean_F_rmse
mesh-laplacian,10,0.0,0.25,3.1339560339829026e-19,6.395289959455758e-17,9.476275508031897e-17,1.997052540057967e-16,3.9041339401382723e-16,1.900973315908798e-16,0.965999797893833,0,1.9162828116777913e-16
mesh-laplacian,20,0.0,0.25,6.651410700842223e-19,1.4823458394063332e-16,2.0037257195553924e-16,4.47001301444951e-16,8.665880349236871e-16,4.199891133943012e-16,0.9494614389882691,0,1.9162828116777913e-16
mesh-laplacian,30,0.0,0.25,8.400780227012822e-19,1.5115077742115768e-16,2.2670955482792767e-16,5.106967284721029e-16,9.845551113014687e-16,4.759365087330582e-16,0.9438326054472757,0,1.9162828116777913e-16
mesh-laplacian,40,0.0,0.25,1.081609414234235e-18,2.0360298460623547e-16,3.1708254506395956e-16,7.690293533098917e-16,1.4669837399789214e-15,6.987256048762049e-16,0.9359047134064776,0,1.9162828116777913e-16
mesh-laplacian,50,0.0,0.25,1.1906127279110701e-18,2.6666443270331294e-16,3.365953872487536e-16,8.588369549721771e-16,1.614903054108248e-15,7.553785449085637e-16,0.9255560911311987,0,1.9162828116777913e-16
mesh-laplacian,60,0.0,0.25,1.484729998380488e-18,3.1616400874077764e-16,4.482304280909147e-16,1.1366790167296674e-15,2.153627378637211e-15,1.0191410897942341e-15,0.9078486563598229,0,1.9162828116777913e-16
mesh-laplacian,10,0.0,0.5,3.688990516899961e-19,7.592336982138457e-17,1.0489772033198451e-16,2.200579926823265e-16,4.32706249848816e-16,2.1267757591322653e-16,0.965999797893833,0,2.299492253639551e-16
mesh-laplacian,20,0.0,0.5,7.503873692024917e-19,1.5371410118479104e-16,2.2950975968158e-16,5.157141657332817e-16,9.94419770151133e-16,4.811790421657568e-16,0.9494614389882693,0,2.299492253639551e-16
mesh-laplacian,30,0.0,0.5,1.0109288983659835e-18,1.8532983485900674e-16,2.6647506276701605e-16,6.131447752433449e-16,1.1788336385858047e-15,5.708277030944946e-16,0.9438326054472757,0,2.299492253639551e-16
mesh-laplacian,40,0.0,0.5,1.2798892731083878e-18,2.606541884176428e-16,3.9611093791879947e-16,9.619327831044977e-16,1.8511171000531177e-15,8.879339796788757e-16,0.9359047134064776,0,2.299492253639551e-16
mesh-laplacian,50,0.0,0.5,1.509872771233722e-18,3.130050393985475e-16,4.0215911700241274e-16,1.0400046837219567e-15,1.9404776398274564e-15,9.020822252836474e-16,0.9255560911311996,0,2.299492253639551e-16
mesh-laplacian,60,0.0,0.5,1.8757274687718518e-18,3.9106881850235785e-16,5.745050472251588e-16,1.4960458836215861e-15,2.81968226755311e-15,1.327415614831945e-15,0.9078486563598229,0,2.299492253639551e-16
mesh-laplacian,10,0.0,0.75,4.2984799737293577e-19,8.470013089943898e-17,1.2430748943450474e-16,2.688103795698285e-16,5.2825708988226e-16,2.5648907966106135e-16,0.965999797893833,0,2.5870218491493983e-16
mesh-laplacian,20,0.0,0.75,8.075893072594021e-19,1.7115701638290916e-16,2.651279996869643e-16,5.967120782549438e-16,1.148175916765588e-15,5.567833190534865e-16,0.9494614389882693,0,2.5870218491493983e-16
mesh-laplacian,30,0.0,0.75,1.1420661375184482e-18,2.1092043601631137e-16,3.071781299293697e-16,7.052585170114829e-16,1.3589984106050481e-15,6.573882735858464e-16,0.9438326054472757,0,2.5870218491493983e-16
mesh-laplacian,40,0.0,0.75,1.3880704608866779e-18,2.8953193923244474e-16,4.453599904136864e-16,1.066312164265184e-15,2.0623727854774923e-15,9.99365519008283e-16,0.9359047134064776,0,2.5870218491493983e-16
mesh-laplacian,50,0.0,0.75,1.785271029480399e-18,3.6784960325593235e-16,5.056171679706734e-16,1.3195313301281395e-15,2.4528151148707573e-15,1.1469496183547196e-15,0.9255560911311996,0,2.5870218491493983e-16
mesh-laplacian,60,0.0,0.75,2.1282152686094023e-18,4.2805398370260223e-16,6.2849767160589665e-16,1.6188042689324702e-15,3.0710062909415935e-15,1.4693782954330972e-15,0.9078486563598229,0,2.5870218491493983e-16
mesh-laplacian,10,0.0,1.0,5.293427526110914e-19,1.0063830398290711e-16,1.441594731296626e-16,3.0753126667580903e-16,6.032991647862441e-16,2.9285690909182e-16,0.965999797893833,0,3.210704090808599e-16
mesh-laplacian,20,0.0,1.0,1.019964123595751e-18,2.1336732854110206e-16,3.192509175107245e-16,7.147888998205028e-16,1.3803053306087247e-15,6.712142008200756e-16,0.9494614389882691,0,3.210704090808599e-16
